Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
com.fasterxml.jackson.core:jackson-annotations:2.21,com.fasterxml.jackson.core,,JsonIgnoreType,1,
com.google.errorprone:error_prone_core:2.50.0,com.google.errorprone,,"AfterTemplate, BeforeTemplate",1,
org.functionaljava:functionaljava:5.0,org.functionaljava,,Option,1,
org.jspecify:jspecify:1.0.0,org.jspecify,,"Nullable, NullMarked",1,
org.junit.jupiter:junit-jupiter-api:6.1.0,org.junit.jupiter,,"Test, Disabled",1,
org.openrewrite.meta:rewrite-analysis:2.35.0,org.openrewrite.meta,,"DataFlowNode, DataFlowSpec, Dataflow, SinkFlowSummary",1,
org.openrewrite:rewrite-core:8.85.0,org.openrewrite,,"TreeVisitor, DocumentExample, ExecutionContext, Recipe, ScanningRecipe, DataTable, Preconditions, Option",1,
org.openrewrite:rewrite-java:8.85.0,org.openrewrite,,"J, JavaParser, JavaIsoVisitor, JavaVisitor, UsesType, J.MethodInvocation, JavaTemplate, MethodMatcher",1,
org.openrewrite:rewrite-templating:1.41.9,org.openrewrite,,"Matcher, RecipeDescriptor, Matches, NotMatches",1,
org.openrewrite:rewrite-test:8.85.0,org.openrewrite,,"RecipeSpec, RewriteTest, SourceSpec",1,
org.openrewrite:rewrite-xml:8.85.0,org.openrewrite,,Xml,1,
org.openrewrite:rewrite-yaml:8.85.0,org.openrewrite,,"YamlIsoVisitor, Yaml, ChangePropertyValue, MergeYaml, Yaml.Block, Yaml.Documents, Yaml.Mapping, Yaml.Mapping.Entry",1,
org.projectlombok:lombok:1.18.46,org.projectlombok,,"Value, EqualsAndHashCode, Getter",1,
